Date,Open,High,Low,Close,Volume
2022-04-12,4.87,4.93,4.76,4.77,2977800
2022-04-13,4.83,4.91,4.74,4.89,2309600
2022-04-14,4.9,4.9,4.76,4.85,2169000
2022-04-18,4.86,4.95,4.77,4.95,2710700
2022-04-19,4.96,4.96,4.8,4.84,2018200
2022-04-20,4.82,4.92,4.75,4.75,2075500
2022-04-22,4.7,4.7,4.45,4.47,4745700
2022-04-25,4.5,4.5,4.37,4.49,2997200
2022-04-26,4.41,4.57,4.39,4.45,5064800
2022-04-27,4.55,4.55,4.3,4.34,4173400
2022-04-28,4.38,4.4,4.31,4.38,2238100
2022-04-29,4.43,4.54,4.31,4.38,3551000
2022-05-02,4.39,4.4,4.25,4.4,3650400
2022-05-03,4.39,4.43,4.25,4.25,2214200
2022-05-04,4.23,4.42,4.11,4.42,3327200
2022-05-05,4.37,4.37,4.07,4.08,4685400
2022-05-06,4.0,4.03,3.51,3.51,15507900
2022-05-09,3.42,3.45,3.05,3.05,14132600
2022-05-10,3.07,3.15,2.94,3.11,7309900
2022-05-11,3.11,3.32,3.05,3.18,6383000
2022-05-12,3.13,3.3,3.07,3.21,3382300
2022-05-13,3.24,3.39,3.21,3.32,4357400
2022-05-16,3.33,3.44,3.27,3.44,2659500
2022-05-17,3.49,3.57,3.39,3.4,2194700
2022-05-18,3.36,3.37,3.11,3.12,5243400
2022-05-19,3.12,3.12,3.02,3.06,3814300
2022-05-20,3.1,3.15,2.91,3.0,9116100
2022-05-23,3.05,3.56,3.02,3.53,11827500
2022-05-24,3.42,3.43,3.21,3.28,6339400
2022-05-25,3.28,3.28,3.18,3.19,4016500
2022-05-26,3.18,3.43,3.18,3.37,4932200
2022-05-27,3.37,3.52,3.34,3.35,2861700
2022-05-30,3.36,3.42,3.2,3.25,2046200
2022-05-31,3.26,3.29,3.06,3.11,7519800
2022-06-01,3.12,3.13,3.01,3.04,3347800
2022-06-02,3.07,3.13,3.03,3.06,3445400
2022-06-03,3.07,3.07,2.98,3.04,3576500
2022-06-06,3.07,3.12,2.93,2.93,3115900
2022-06-07,2.9,2.96,2.82,2.91,2825300
2022-06-08,2.89,2.97,2.88,2.91,3025200
2022-06-09,2.92,2.95,2.81,2.87,4374300
2022-06-10,2.83,2.87,2.72,2.73,4379600
2022-06-13,2.65,2.65,2.49,2.57,5369000
2022-06-14,2.59,2.62,2.44,2.45,2610500
2022-06-15,2.5,2.58,2.47,2.54,4201200
2022-06-17,2.46,2.6,2.4,2.54,3938800
2022-06-20,2.55,2.65,2.44,2.44,3518000
2022-06-21,2.46,2.54,2.44,2.46,3435200
2022-06-22,2.44,2.51,2.39,2.45,3144500
2022-06-23,2.44,2.66,2.44,2.51,3255000
2022-06-24,2.55,2.57,2.41,2.45,3887000
2022-06-27,2.48,2.5,2.35,2.36,3063200
2022-06-28,2.37,2.4,2.27,2.28,3436800
2022-06-29,2.28,2.32,2.2,2.32,5733700
2022-06-30,2.3,2.37,2.25,2.3,4560200
2022-07-01,2.26,2.34,2.26,2.3,2531300
2022-07-04,2.31,2.35,2.2,2.21,2345200
2022-07-05,2.21,2.34,2.12,2.33,5670800
2022-07-06,2.3,2.51,2.3,2.51,6223900
2022-07-07,2.55,2.61,2.51,2.57,2762300
2022-07-08,2.55,2.62,2.51,2.62,2746100
2022-07-11,2.56,2.6,2.48,2.55,1807800
2022-07-12,2.57,2.67,2.46,2.62,5712200
2022-07-13,2.58,2.63,2.48,2.48,2922500
2022-07-14,2.42,2.48,2.35,2.41,2747400
2022-07-15,2.43,2.45,2.33,2.36,2806200
2022-07-18,2.4,2.56,2.4,2.46,4381400
2022-07-19,2.46,2.48,2.35,2.39,3099000
2022-07-20,2.38,2.61,2.38,2.59,4523500
2022-07-21,2.58,2.7,2.56,2.6,3831200
2022-07-22,2.61,2.7,2.43,2.5,3188300
2022-07-25,2.51,2.61,2.46,2.57,3311300
2022-07-26,2.59,2.75,2.51,2.71,4848400
2022-07-27,2.73,2.84,2.64,2.78,5961800
2022-07-28,2.8,2.84,2.71,2.79,2881100
2022-07-29,2.8,2.84,2.72,2.81,2895400
2022-08-01,2.81,3.0,2.75,2.93,6003000
2022-08-02,2.92,2.99,2.78,2.81,4865400
2022-08-03,2.82,2.97,2.77,2.95,4488400
2022-08-04,2.97,3.14,2.95,3.12,7566500
2022-08-05,3.13,3.24,2.98,3.08,6497600
2022-08-08,3.11,3.19,3.01,3.01,8446700
2022-08-09,3.02,3.08,2.86,2.89,3750100
2022-08-10,2.94,3.12,2.8,3.05,7326000
2022-08-11,3.16,3.44,3.15,3.31,13306300
2022-08-12,3.35,3.39,3.24,3.34,5424100
2022-08-15,3.32,3.95,3.25,3.84,14648700
2022-08-16,3.86,3.93,3.61,3.63,21092800
2022-08-17,3.55,3.64,3.46,3.55,10099600
2022-08-18,3.56,3.57,3.3,3.3,6872400
2022-08-19,3.23,3.25,2.99,3.09,9570700
2022-08-22,3.04,3.04,2.94,2.99,4672100
2022-08-23,3.01,3.15,3.0,3.1,5654500
2022-08-24,3.09,3.34,3.06,3.28,6813800
2022-08-25,3.32,3.39,3.25,3.27,3453800
2022-08-26,3.29,3.29,3.11,3.15,3689400
2022-08-29,3.1,3.45,3.07,3.37,7695100
2022-08-30,3.36,3.45,3.22,3.3,4644000
2022-08-31,3.35,3.35,3.19,3.23,3640600
2022-09-01,3.22,3.42,3.21,3.41,5408300
2022-09-02,3.47,3.66,3.37,3.58,7422100
2022-09-05,3.61,3.64,3.5,3.6,2777800
2022-09-06,3.55,3.55,3.31,3.44,4464200
2022-09-08,3.46,3.57,3.38,3.45,3894000
2022-09-09,3.52,3.62,3.52,3.6,3100900
2022-09-12,3.63,3.75,3.63,3.7,4227100
2022-09-13,3.58,3.63,3.49,3.6,4282600
2022-09-14,3.59,3.64,3.4,3.43,3942200
2022-09-15,3.41,3.44,3.13,3.16,9085600
2022-09-16,3.11,3.18,3.01,3.18,10155400
2022-09-19,3.17,3.37,3.11,3.37,6138600
2022-09-20,3.32,3.41,3.21,3.22,4304400
2022-09-21,3.22,3.38,3.16,3.27,4753300
2022-09-22,3.34,3.49,3.3,3.49,6046200
2022-09-23,3.38,3.55,3.38,3.42,4782400
2022-09-26,3.38,3.44,3.28,3.28,3859100
2022-09-27,3.34,3.42,3.13,3.16,4940800
2022-09-28,3.16,3.23,3.1,3.21,3561500
2022-09-29,3.16,3.17,3.05,3.08,3966200
2022-09-30,3.09,3.29,3.04,3.28,4052300
2022-10-03,3.41,3.5,3.34,3.47,4350300
2022-10-04,3.52,3.65,3.43,3.58,7416200
2022-10-05,3.6,3.63,3.5,3.58,2895400
2022-10-06,3.59,3.81,3.55,3.8,5198700
2022-10-07,3.78,3.93,3.73,3.76,4739800
2022-10-10,3.79,3.81,3.63,3.64,2994400
2022-10-11,3.63,3.68,3.53,3.59,2518700
2022-10-13,3.52,3.58,3.42,3.44,4948600
2022-10-14,3.44,3.49,3.27,3.33,2652600
2022-10-17,3.36,3.4,3.3,3.31,3944900
2022-10-18,3.36,3.39,3.21,3.26,3836300
2022-10-19,3.24,3.24,3.12,3.17,3970600
2022-10-20,3.21,3.22,3.05,3.07,4518300
2022-10-21,3.06,3.13,2.93,3.07,6831600
2022-10-24,3.05,3.07,2.95,3.02,4201100
2022-10-25,2.99,3.12,2.97,2.99,5037400
2022-10-26,3.0,3.0,2.66,2.71,9447400
2022-10-27,2.73,2.83,2.69,2.79,6199000
2022-10-28,2.75,2.9,2.71,2.89,4907600
2022-10-31,2.83,3.09,2.79,3.02,6603200
2022-11-01,3.05,3.17,2.97,3.15,5352800
2022-11-03,3.08,3.23,3.06,3.14,5003700
2022-11-04,3.19,3.2,3.02,3.02,7869400
2022-11-07,3.02,3.09,2.86,2.88,5135900
2022-11-08,2.86,2.94,2.81,2.83,5184300
2022-11-09,2.82,2.97,2.77,2.88,6474100
2022-11-10,2.81,2.88,2.53,2.56,9100300
2022-11-11,2.53,2.65,2.43,2.45,8256600
2022-11-14,2.48,2.56,2.4,2.47,5681600
2022-11-16,2.48,2.49,2.37,2.39,6245900
2022-11-17,2.33,2.41,2.23,2.37,8330500
2022-11-18,2.42,2.5,2.3,2.31,5301300
2022-11-21,2.33,2.4,2.27,2.37,3423000
2022-11-22,2.38,2.41,2.3,2.34,3236000
2022-11-23,2.32,2.37,2.27,2.33,4516500
2022-11-24,2.36,2.46,2.35,2.44,2756200
2022-11-25,2.43,2.46,2.31,2.34,2578200
2022-11-28,2.33,2.34,2.22,2.23,2781000
2022-11-29,2.26,2.42,2.2,2.37,5565300
2022-11-30,2.38,2.43,2.33,2.37,3632000
2022-12-01,2.37,2.49,2.33,2.33,6334100
2022-12-02,2.35,2.4,2.29,2.38,2941200
2022-12-05,2.36,2.4,2.28,2.3,1942700
2022-12-06,2.31,2.4,2.3,2.39,4038200
2022-12-07,2.38,2.48,2.37,2.41,3383000
2022-12-08,2.37,2.4,2.29,2.31,3353500
2022-12-09,2.33,2.37,2.26,2.32,2468100
2022-12-12,2.32,2.33,2.22,2.32,2948100
2022-12-13,2.34,2.39,2.17,2.18,3298100
2022-12-14,2.15,2.19,2.06,2.16,6743600
2022-12-15,2.13,2.23,2.07,2.08,3868500
2022-12-16,2.09,2.12,1.91,1.95,8751900
2022-12-19,1.97,2.15,1.94,2.1,7674800
2022-12-20,2.1,2.3,2.05,2.25,8464700
2022-12-21,2.24,2.3,2.14,2.15,5125400
2022-12-22,2.13,2.17,2.04,2.08,5426000
2022-12-23,2.09,2.2,2.08,2.17,4257800
2022-12-26,2.17,2.23,2.13,2.18,2247800
2022-12-27,2.19,2.25,2.11,2.15,3370000
2022-12-28,2.15,2.34,2.13,2.34,4579800
2022-12-29,2.33,2.43,2.26,2.29,3653000
2023-01-02,2.28,2.28,2.15,2.2,1984000
2023-01-03,2.19,2.26,2.12,2.12,3677800
2023-01-04,2.14,2.25,2.13,2.25,2931500
2023-01-05,2.25,2.34,2.22,2.31,4745800
2023-01-06,2.27,2.36,2.25,2.35,5243700
2023-01-09,2.33,2.39,2.26,2.36,5355300
2023-01-10,2.34,2.59,2.31,2.56,4869000
2023-01-11,2.55,2.68,2.49,2.63,4328400
2023-01-12,2.49,2.63,2.39,2.55,7447800
2023-01-13,2.53,2.61,2.4,2.43,4284200
2023-01-16,3.0,3.13,2.5,2.71,29414600
2023-01-17,2.66,2.91,2.53,2.61,16937800
2023-01-18,2.65,2.72,2.53,2.55,5215700
2023-01-19,2.5,2.6,2.47,2.5,3048800
2023-01-20,2.51,3.08,2.5,3.07,16674600
2023-01-23,3.06,3.06,2.78,2.8,7380400
2023-01-24,2.81,2.95,2.78,2.82,6059800
2023-01-25,2.82,3.04,2.8,2.94,5346100
2023-01-26,2.9,3.01,2.9,2.98,3724800
2023-01-27,2.98,3.2,2.95,3.11,5877300
2023-01-30,3.14,3.15,2.87,2.89,4978800
2023-01-31,2.89,3.03,2.81,2.98,7856700
2023-02-01,2.97,3.11,2.94,3.06,5194700
2023-02-02,3.04,3.14,3.01,3.06,4428300
2023-02-03,3.05,3.05,2.9,2.9,2713700
2023-02-06,2.9,2.92,2.69,2.71,3450900
2023-02-07,2.71,2.79,2.61,2.61,4061800
2023-02-08,2.63,2.65,2.45,2.56,6513300
2023-02-09,2.56,2.61,2.41,2.41,3774300
2023-02-10,2.4,2.42,2.25,2.28,5361500
2023-02-13,2.28,2.34,2.16,2.29,5206800
2023-02-14,2.29,2.37,2.19,2.22,2996200
2023-02-15,2.23,2.34,2.19,2.3,3474200
2023-02-16,2.29,2.34,2.23,2.25,2969500
2023-02-17,2.24,2.29,2.14,2.14,5027900
2023-02-22,2.14,2.16,2.01,2.02,2336300
2023-02-23,2.02,2.06,1.98,2.04,3707800
2023-02-24,2.05,2.1,2.01,2.01,1669300
2023-02-27,1.99,2.07,1.98,2.03,2628700
2023-02-28,2.04,2.11,2.02,2.02,2534500
2023-03-01,2.03,2.08,1.88,1.94,4346800
2023-03-02,2.32,2.34,2.15,2.18,10060700
2023-03-03,2.21,2.8,2.18,2.72,20771000
2023-03-06,2.77,2.9,2.65,2.89,11544300
2023-03-07,2.86,3.04,2.85,2.96,7171800
2023-03-08,2.95,3.17,2.94,3.11,7104000
2023-03-09,3.11,3.17,2.92,3.0,5291400
2023-03-10,2.99,3.04,2.86,2.98,5267200
2023-03-13,2.93,3.19,2.86,3.1,4540800
2023-03-14,3.1,3.14,2.85,2.87,4540300
2023-03-15,2.8,3.03,2.78,3.0,5393200
2023-03-16,3.0,3.05,2.94,2.98,2894900
2023-03-17,2.98,2.99,2.84,2.84,3019000
2023-03-20,2.82,2.86,2.71,2.73,2571800
2023-03-21,2.75,2.77,2.7,2.73,2400000
2023-03-22,2.72,2.86,2.64,2.71,4450900
2023-03-23,2.71,2.72,2.51,2.6,5291300
2023-03-24,2.6,2.65,2.41,2.57,8035300
2023-03-27,2.58,2.79,2.58,2.73,3948600
2023-03-28,2.7,2.92,2.66,2.9,3159700
2023-03-29,2.9,2.92,2.74,2.81,3021100
2023-03-30,2.85,3.02,2.82,2.89,4371600
2023-03-31,2.86,2.94,2.72,2.79,2922500
2023-04-03,2.81,2.84,2.71,2.84,3009400
2023-04-04,2.83,2.88,2.65,2.65,7258800
2023-04-05,2.7,2.8,2.59,2.65,6355900
2023-04-06,2.65,2.7,2.62,2.67,2624700
2023-04-10,2.7,2.75,2.64,2.67,2555400
2023-04-11,2.73,2.98,2.71,2.95,5354700
2023-04-12,3.0,3.11,2.99,3.06,4183900
2023-04-13,3.06,3.23,2.99,3.11,4826100
2023-04-14,3.12,3.14,3.0,3.06,2756900
2023-04-17,3.03,3.1,3.01,3.01,2017100
2023-04-18,3.06,3.08,2.85,2.91,3770500
2023-04-19,2.85,2.9,2.67,2.7,4935800
2023-04-20,2.71,2.84,2.64,2.78,4312900
2023-04-24,2.77,2.87,2.75,2.84,2105000
2023-04-25,2.81,2.82,2.68,2.7,2771300
2023-04-26,2.7,2.79,2.63,2.74,3951700
2023-04-27,2.75,2.75,2.65,2.7,3614600
2023-04-28,2.69,2.86,2.66,2.78,4247000
2023-05-02,2.78,3.0,2.64,2.93,8626200
2023-05-03,2.97,3.07,2.86,2.95,6141900
2023-05-04,2.97,3.13,2.95,3.08,5400200
2023-05-05,3.11,3.29,3.08,3.28,5337900
2023-05-08,3.3,3.49,3.29,3.41,6228600
2023-05-09,3.38,3.6,3.34,3.5,4259000
2023-05-10,3.49,3.71,3.49,3.68,5129800
2023-05-11,3.65,3.8,3.62,3.8,4925100
2023-05-12,3.56,3.98,3.53,3.84,9725100
2023-05-15,3.87,4.03,3.71,3.99,5411600
2023-05-16,3.99,4.01,3.85,3.93,5715400
2023-05-17,3.98,4.28,3.96,4.28,6160500
2023-05-18,4.27,4.32,4.09,4.31,6670800
2023-05-19,4.36,4.44,4.2,4.25,6191700
2023-05-22,4.26,4.36,4.21,4.28,3483600
2023-05-23,4.24,4.51,4.23,4.3,4348000
2023-05-24,4.28,4.44,4.12,4.24,3446300
2023-05-25,4.36,4.49,4.3,4.48,4187600
2023-05-26,4.5,4.58,4.36,4.51,4247000
2023-05-29,4.56,4.57,4.41,4.52,2372800
2023-05-30,4.61,4.63,4.33,4.36,3937000
2023-05-31,4.32,4.6,4.3,4.6,3478700
2023-06-01,4.6,5.34,4.52,5.34,9976700
2023-06-02,5.43,5.5,5.04,5.09,8152400
2023-06-05,5.07,5.15,4.8,5.1,6247400
2023-06-06,5.14,5.24,4.95,4.97,5177300
2023-06-07,5.04,5.1,4.7,4.81,6695200
2023-06-09,4.86,4.91,4.68,4.75,5651200
2023-06-12,4.76,5.07,4.66,4.9,6649300
2023-06-13,4.95,5.01,4.62,4.68,4358900
2023-06-14,4.73,5.24,4.62,5.22,8037600
2023-06-15,5.25,5.32,4.81,4.98,10214700
2023-06-16,4.93,5.0,4.76,4.82,4577400
2023-06-19,4.82,4.97,4.79,4.93,1994200
2023-06-20,4.93,5.32,4.87,5.26,6059500
2023-06-21,5.26,5.44,5.18,5.35,4163100
2023-06-22,5.19,5.3,5.01,5.2,4737400
2023-06-23,5.25,5.5,5.12,5.43,6765200
2023-06-26,5.42,5.42,5.25,5.37,2732500
2023-06-27,5.5,5.74,5.09,5.22,7878800
2023-06-28,5.18,5.52,5.14,5.29,3047900
2023-06-29,5.33,5.52,5.29,5.5,3617100
2023-06-30,5.57,5.74,5.37,5.43,6319400
2023-07-03,5.45,5.49,5.27,5.39,7170100
2023-07-04,5.39,5.55,5.32,5.51,2828200
2023-07-05,5.46,5.82,5.42,5.76,4110900
2023-07-06,5.68,5.7,5.5,5.55,3192100
2023-07-07,5.59,5.8,5.55,5.74,2906900
2023-07-10,5.73,5.74,5.54,5.57,2082300
2023-07-11,5.57,5.58,5.3,5.56,3857700
2023-07-12,5.65,6.08,5.65,5.81,7685700
2023-07-13,5.82,5.95,5.45,5.56,4692200
2023-07-14,5.3,5.35,4.78,4.89,15771400
2023-07-17,4.88,5.18,4.84,5.17,5070700
2023-07-18,5.15,5.5,5.14,5.42,5384000
2023-07-19,5.41,5.47,5.32,5.38,2646000
2023-07-20,5.41,5.46,5.22,5.32,2200400
2023-07-21,5.3,5.64,5.3,5.49,3946200
2023-07-24,5.53,5.57,5.33,5.49,2320000
2023-07-25,5.56,5.75,5.45,5.49,3865600
2023-07-26,5.49,5.63,5.41,5.6,1945300
2023-07-27,5.62,5.66,5.45,5.48,1747300
2023-07-28,5.55,5.55,5.44,5.5,1281500
2023-07-31,5.55,5.88,5.55,5.7,3571100
2023-08-01,5.65,5.92,5.45,5.91,5677300
2023-08-02,5.97,6.02,5.69,5.82,6874400
2023-08-03,5.96,6.08,5.78,5.83,4853200
2023-08-04,5.81,6.17,5.8,6.14,4666200
2023-08-07,6.17,6.17,5.81,5.83,3282800
2023-08-08,5.78,5.88,5.55,5.74,3099900
2023-08-09,5.74,5.95,5.67,5.7,3345000
2023-08-10,5.8,5.93,5.78,5.84,2440700
2023-08-11,6.18,6.9,5.92,6.7,15335200
2023-08-14,6.7,6.86,6.53,6.62,5683800
2023-08-15,6.6,6.69,6.3,6.56,5105700
2023-08-16,6.58,6.63,6.28,6.43,5897000
2023-08-17,6.51,6.53,6.13,6.17,3744800
2023-08-18,6.12,6.37,5.82,6.23,5405200
2023-08-21,6.19,6.22,5.96,5.99,3510600
2023-08-22,6.07,6.16,5.9,6.14,4158800
2023-08-23,6.2,6.55,6.12,6.48,3142700
2023-08-24,6.48,6.61,6.36,6.43,3395700
2023-08-25,6.41,6.43,5.98,5.98,3247600
2023-08-28,6.03,6.04,5.47,5.66,7906800
2023-08-29,5.68,5.82,5.47,5.69,3286000
2023-08-30,5.7,5.72,5.46,5.5,3032100
2023-08-31,5.49,5.49,5.3,5.35,3681000
2023-09-01,5.4,5.64,5.32,5.62,4962000
2023-09-04,5.65,5.7,5.4,5.48,3173300
2023-09-05,5.45,5.49,5.3,5.42,3096400
2023-09-06,5.4,5.57,5.4,5.44,4361600
2023-09-08,5.43,5.46,5.31,5.32,2168000
2023-09-11,5.38,5.46,5.26,5.36,3226700
2023-09-12,5.36,5.57,5.36,5.51,2356100
2023-09-13,5.5,5.8,5.43,5.6,3484500
2023-09-14,5.65,5.66,5.45,5.52,3749200
2023-09-15,5.54,5.56,5.11,5.18,5363500
2023-09-18,5.15,5.32,5.1,5.22,2815400
2023-09-19,5.21,5.23,5.12,5.12,2849900
2023-09-20,5.15,5.58,5.14,5.42,5388800
2023-09-21,5.31,5.39,5.19,5.19,3036000
2023-09-22,5.25,5.31,5.1,5.1,2426200
2023-09-25,4.99,5.09,4.92,5.02,3919300
2023-09-26,4.99,5.22,4.82,4.9,4192900
2023-09-27,4.95,5.18,4.8,4.99,5812700
2023-09-28,4.98,5.31,4.93,5.25,4382200
2023-09-29,5.35,5.56,5.33,5.5,4590500
2023-10-02,5.49,5.49,5.12,5.12,3618900
2023-10-03,5.04,5.1,4.7,4.71,3808300
2023-10-04,4.77,5.14,4.77,5.09,5930500
2023-10-05,5.1,5.23,4.94,4.95,3401000
2023-10-06,4.81,5.14,4.76,5.06,4812200
2023-10-09,4.98,5.03,4.83,4.98,2689100
2023-10-10,5.03,5.4,5.03,5.28,4133600
2023-10-11,5.34,5.38,5.15,5.29,2830100
2023-10-13,5.21,5.21,5.0,5.0,2144300
2023-10-16,5.06,5.17,4.94,5.12,2426100
2023-10-17,5.08,5.25,5.02,5.1,2762000
2023-10-18,5.07,5.1,4.82,4.92,3515800
2023-10-19,4.93,5.12,4.86,4.97,3399700
2023-10-20,4.92,5.06,4.88,4.96,2799700
2023-10-23,4.88,5.13,4.85,5.06,2014100
2023-10-24,5.11,5.23,5.04,5.14,2628000
2023-10-25,5.15,5.19,4.92,5.0,2445200
2023-10-26,5.02,5.3,5.02,5.23,4908400
2023-10-27,5.24,5.43,5.15,5.2,2912800
2023-10-30,5.21,5.25,4.93,4.94,3890600
2023-10-31,5.0,5.16,4.8,5.16,4267000
2023-11-01,5.16,5.29,5.08,5.24,2720700
2023-11-03,5.39,5.84,5.39,5.76,3588300
2023-11-06,5.82,6.09,5.65,5.72,5526900
2023-11-07,5.67,5.98,5.65,5.78,3812900
2023-11-08,5.8,6.08,5.8,6.02,4022900
2023-11-09,6.09,6.25,5.91,6.13,3100500
2023-11-10,6.5,7.42,6.47,7.24,14282100
2023-11-13,7.21,7.79,7.14,7.43,8835300
2023-11-14,7.44,7.87,7.41,7.44,6125600
2023-11-16,7.4,8.25,7.23,8.03,9976600
2023-11-17,8.09,8.4,8.0,8.33,5823800
2023-11-20,8.4,8.47,8.23,8.26,4266000
2023-11-21,8.23,8.23,7.95,8.1,4025000
2023-11-22,8.1,8.32,7.96,7.96,3423600
2023-11-23,7.98,7.99,7.74,7.74,2414400
2023-11-24,7.72,7.92,7.44,7.77,3112700
2023-11-27,7.8,7.82,7.58,7.58,2814300
2023-11-28,7.58,7.88,7.5,7.76,3101800
2023-11-29,7.87,8.47,7.82,8.12,6571400
2023-11-30,8.15,8.5,8.05,8.13,4982900
2023-12-01,8.22,8.63,8.11,8.62,6875500
2023-12-04,8.58,8.58,8.14,8.19,3666600
2023-12-05,8.22,8.61,8.22,8.24,3806600
2023-12-06,8.32,8.39,8.01,8.09,3863700
2023-12-07,8.16,8.41,8.08,8.34,2211300
2023-12-08,8.4,8.51,8.27,8.42,1787800
2023-12-11,8.4,8.61,8.32,8.37,2800600
2023-12-12,8.37,8.78,8.37,8.57,3402200
2023-12-13,8.57,8.8,8.34,8.79,4141200
2023-12-14,8.85,9.14,8.54,8.69,4147000
2023-12-15,8.7,8.76,8.2,8.2,3029100
2023-12-18,8.2,8.38,8.09,8.12,2448800
2023-12-19,8.16,8.28,7.74,7.79,4280000
2023-12-20,7.85,8.3,7.81,8.08,3332800
2023-12-21,8.14,8.35,8.08,8.18,2110700
2023-12-22,8.18,8.26,7.93,8.02,2126000
2023-12-26,8.05,8.11,7.82,7.83,1748700
2023-12-27,7.85,8.0,7.79,7.89,1937700
2023-12-28,7.88,7.98,7.75,7.83,1438100
2024-01-02,7.85,7.86,7.45,7.52,2422400
2024-01-03,7.5,7.68,7.38,7.52,2218000
2024-01-04,7.47,7.49,7.25,7.26,2993800
