Date,Open,High,Low,Close,Volume
2022-08-10,20.79,20.79,20.21,20.49,78369600
2022-08-11,20.67,20.9,20.01,20.01,128896500
2022-08-12,19.73,21.58,19.72,21.5,171288300
2022-08-15,20.94,21.85,20.71,21.51,96759000
2022-08-16,21.51,21.74,21.36,21.7,64218800
2022-08-17,21.46,22.25,21.42,22.21,72924700
2022-08-18,22.44,22.82,22.29,22.66,84552500
2022-08-19,22.32,22.47,21.24,21.51,125178200
2022-08-22,21.52,22.09,20.66,21.97,92400300
2022-08-23,22.12,22.71,22.12,22.67,73215800
2022-08-24,22.74,23.13,22.54,22.81,61067900
2022-08-25,23.12,23.3,22.15,22.56,99511600
2022-08-26,22.56,22.83,22.08,22.81,63545400
2022-08-29,22.75,23.78,22.68,23.38,73339500
2022-08-30,23.05,23.2,21.88,21.99,99361100
2022-08-31,21.74,22.67,21.57,22.53,114235400
2022-09-01,22.62,23.02,22.21,22.95,69184700
2022-09-02,23.35,23.44,22.55,22.66,81792300
2022-09-05,22.95,23.13,22.47,22.6,76337600
2022-09-06,21.88,22.1,21.36,21.76,111813500
2022-09-08,21.91,22.22,21.29,21.56,63159800
2022-09-09,22.03,22.15,21.49,21.55,49871900
2022-09-12,21.8,22.19,21.33,21.34,71374500
2022-09-13,20.98,21.32,20.69,20.78,88327800
2022-09-14,20.85,21.31,20.77,21.1,49039700
2022-09-15,20.96,21.17,20.88,21.06,45553200
2022-09-16,20.92,20.98,20.57,20.87,107303600
2022-09-19,20.68,21.27,20.26,21.2,65559900
2022-09-20,21.3,21.42,20.91,21.08,67798200
2022-09-21,21.25,21.34,20.94,21.13,58812200
2022-09-22,21.34,21.75,21.04,21.65,69764300
2022-09-23,21.23,21.28,20.18,20.3,138630800
2022-09-26,20.15,20.39,19.84,19.86,42934600
2022-09-27,20.11,20.26,20.05,20.12,71087600
2022-09-28,20.12,20.22,19.38,19.84,104670700
2022-09-29,19.65,19.93,19.39,19.87,87536500
2022-09-30,19.81,20.67,19.66,20.2,121637100
2022-10-03,21.63,22.13,21.46,21.82,179694100
2022-10-04,22.31,22.36,21.06,21.27,115917200
2022-10-05,21.3,22.25,21.15,22.07,92893700
2022-10-06,22.37,22.91,21.99,22.82,82671900
2022-10-07,22.77,23.27,22.52,22.8,73500100
2022-10-10,22.81,22.98,22.37,22.54,52222600
2022-10-11,22.3,22.6,22.11,22.37,58332400
2022-10-13,22.03,23.38,21.97,23.01,91143900
2022-10-14,23.03,23.15,22.58,22.66,62246100
2022-10-17,22.54,23.15,22.26,22.64,100936400
2022-10-18,22.98,23.21,22.48,23.19,82313200
2022-10-19,23.14,24.11,23.06,24.01,113700900
2022-10-20,24.47,24.78,24.25,24.73,114347400
2022-10-21,24.71,26.03,24.67,25.57,139601400
2022-10-24,24.75,24.96,23.21,23.22,142110900
2022-10-25,23.08,23.39,22.52,22.73,113161200
2022-10-26,22.1,22.73,21.63,22.18,121334800
2022-10-27,22.24,22.74,22.15,22.35,111008800
2022-10-28,22.17,22.45,21.6,22.08,129745400
2022-10-31,20.75,21.42,19.77,20.21,262409400
2022-11-01,20.73,20.79,20.04,20.24,115944200
2022-11-03,20.2,20.6,19.96,20.31,139062100
2022-11-04,20.88,20.95,19.11,19.19,195361000
2022-11-07,18.96,19.19,18.35,18.41,117206600
2022-11-08,18.35,18.66,18.14,18.54,94745400
2022-11-09,18.41,18.95,18.06,18.24,103303500
2022-11-10,17.68,18.23,17.36,17.71,145470100
2022-11-11,17.49,18.55,17.42,18.3,146365800
2022-11-14,18.48,19.11,18.37,18.78,66639500
2022-11-16,18.85,19.06,18.26,18.41,85549900
2022-11-17,18.31,18.51,18.0,18.41,101525800
2022-11-18,18.58,18.71,17.78,18.1,127683500
2022-11-21,18.39,18.69,17.66,18.16,164898100
2022-11-22,17.82,18.16,17.28,18.08,164261300
2022-11-23,17.82,18.33,17.67,18.16,77317300
2022-11-24,18.23,19.09,18.02,18.79,94233800
2022-11-25,18.8,18.85,18.29,18.49,58635900
2022-11-28,18.33,19.02,18.24,18.88,56067400
2022-11-29,19.06,20.05,18.97,19.67,96151500
2022-11-30,19.84,20.66,19.76,20.66,120774700
2022-12-01,20.6,20.76,19.81,19.83,71259400
2022-12-02,19.91,20.5,19.61,20.08,66301000
2022-12-05,20.15,20.6,19.8,19.85,56065400
2022-12-06,20.01,20.45,19.7,19.87,74991200
2022-12-07,19.64,20.2,19.58,19.64,57008400
2022-12-08,19.8,19.98,19.09,19.2,55567700
2022-12-09,19.36,19.41,18.98,19.15,61586200
2022-12-12,19.05,19.11,17.92,18.53,111293100
2022-12-13,18.67,18.75,18.06,18.07,102533100
2022-12-14,17.43,17.51,16.09,16.64,319501600
2022-12-15,16.27,17.33,16.14,17.08,132385600
2022-12-16,17.02,17.13,16.67,17.09,90767300
2022-12-19,17.12,17.44,16.77,17.34,63074100
2022-12-20,17.35,18.01,17.21,17.88,71875500
2022-12-21,18.21,18.38,17.71,18.26,74252800
2022-12-22,18.52,19.03,18.36,18.59,81894800
2022-12-23,18.7,19.54,18.7,19.46,68387900
2022-12-26,19.46,19.6,19.23,19.33,28765200
2022-12-27,19.57,19.61,19.02,19.46,50803200
2022-12-28,19.45,19.62,19.18,19.22,57293500
2022-12-29,19.36,19.41,18.93,18.98,57901800
2023-01-02,18.24,18.45,17.67,17.76,78424700
2023-01-03,17.78,17.9,17.15,17.31,96750300
2023-01-04,17.02,18.28,16.92,17.86,129504000
2023-01-05,18.09,18.63,17.94,18.5,73886000
2023-01-06,18.55,18.84,18.25,18.4,51851500
2023-01-09,18.21,18.6,18.02,18.5,46385200
2023-01-10,18.56,18.68,18.11,18.67,52741100
2023-01-11,18.71,19.08,18.64,18.81,53536500
2023-01-12,18.82,19.1,18.68,19.09,58130000
2023-01-13,18.94,19.11,18.79,19.04,40002700
2023-01-16,18.91,18.98,18.47,18.63,31973700
2023-01-17,18.68,19.85,18.68,19.77,91797500
2023-01-18,20.02,20.17,19.37,19.43,69692900
2023-01-19,19.37,20.11,19.21,20.06,75553300
2023-01-20,20.06,20.61,19.7,20.43,114219500
2023-01-23,20.36,21.39,20.25,20.76,87678100
2023-01-24,21.29,21.33,20.43,20.61,65794000
2023-01-25,20.57,20.98,20.15,20.88,51832900
2023-01-26,20.99,21.08,19.99,20.34,73344800
2023-01-27,20.29,20.32,19.71,19.85,47681900
2023-01-30,20.03,20.2,19.77,19.95,40683200
2023-01-31,19.86,20.31,19.77,20.2,54048900
2023-02-01,20.2,20.52,19.72,19.92,56349200
2023-02-02,19.77,20.0,18.92,19.0,83823000
2023-02-03,19.02,19.67,18.92,19.21,71170700
2023-02-06,19.27,20.05,19.18,19.98,82794500
2023-02-07,20.08,20.26,19.73,19.85,55311800
2023-02-08,19.99,20.26,19.81,20.19,48713100
2023-02-09,20.19,20.39,19.98,20.09,38198300
2023-02-10,20.13,20.76,20.09,20.7,54683100
2023-02-13,20.68,20.84,20.43,20.77,36726900
2023-02-14,20.81,20.97,20.61,20.69,35839000
2023-02-15,20.6,20.77,20.38,20.72,72554100
2023-02-16,20.61,20.88,20.53,20.81,44115700
2023-02-17,20.67,20.67,20.43,20.49,61085700
2023-02-22,20.15,20.23,19.91,19.96,38608500
2023-02-23,19.97,20.76,19.97,20.57,73913400
2023-02-24,20.67,20.69,20.05,20.07,64409100
2023-02-27,20.02,20.72,20.0,20.26,76250600
2023-02-28,20.31,20.86,19.56,19.56,130248100
2023-03-01,19.61,19.71,18.74,19.6,109257700
2023-03-02,19.7,19.89,18.88,19.09,124516200
2023-03-03,19.24,19.95,18.95,19.91,87591800
2023-03-06,19.91,20.24,19.66,20.12,50227400
2023-03-07,19.93,19.98,19.32,19.45,59052500
2023-03-08,19.49,20.08,19.47,19.7,66220400
2023-03-09,19.64,20.32,19.59,19.61,68042300
2023-03-10,19.5,19.82,19.33,19.36,48118600
2023-03-13,19.02,19.26,18.67,18.74,58605500
2023-03-14,18.81,19.16,18.29,18.41,58916700
2023-03-15,18.08,18.19,17.67,18.09,93708800
2023-03-16,18.13,18.23,17.8,18.02,66821000
2023-03-17,17.9,18.22,17.71,18.22,93502700
2023-03-20,18.22,18.33,17.74,17.77,57575200
2023-03-21,17.98,18.29,17.88,18.13,43391200
2023-03-22,18.12,18.3,17.85,18.08,46435600
2023-03-23,18.11,18.34,17.5,17.67,74711200
2023-03-24,17.6,17.92,17.42,17.66,52556800
2023-03-27,17.91,18.1,17.69,17.96,39148700
2023-03-28,17.99,18.32,17.94,18.28,29091100
2023-03-29,18.37,18.63,18.19,18.52,49148600
2023-03-30,18.79,18.81,18.35,18.57,56116900
2023-03-31,18.6,18.77,17.98,18.17,59547800
2023-04-03,18.67,18.98,18.44,18.98,73931200
2023-04-04,19.09,19.19,18.67,18.81,57505700
2023-04-05,18.74,19.01,18.03,18.87,93626400
2023-04-06,18.86,18.92,18.56,18.6,29565400
2023-04-10,18.62,19.11,18.62,18.99,41455900
2023-04-11,19.14,19.91,19.09,19.88,80565000
2023-04-12,20.13,20.26,19.51,20.03,71563400
2023-04-13,20.03,20.22,19.99,20.17,38852800
2023-04-14,19.99,20.46,19.93,20.38,38421100
2023-04-17,20.33,20.77,20.31,20.7,49427100
2023-04-18,20.7,21.4,20.55,21.22,99478800
2023-04-19,21.05,21.16,20.5,20.54,73217800
2023-04-20,20.55,20.91,20.37,20.68,54738400
2023-04-24,20.61,21.12,20.53,21.08,43820900
2023-04-25,21.05,21.31,20.7,20.99,53854100
2023-04-26,21.01,21.09,20.73,20.73,40249400
2023-04-27,20.81,21.06,20.08,20.22,115632700
2023-04-28,20.55,20.94,20.16,20.63,81138500
2023-05-02,20.63,20.67,19.71,19.8,67911100
2023-05-03,19.68,20.02,19.52,19.73,51133700
2023-05-04,19.93,20.36,19.68,20.04,57854400
2023-05-05,20.29,21.04,20.18,20.9,83365200
2023-05-08,21.29,21.44,21.08,21.34,59352300
2023-05-09,21.25,21.59,21.1,21.41,33978200
2023-05-10,21.41,21.61,21.18,21.36,41500700
2023-05-11,21.01,22.18,20.83,22.14,136878100
2023-05-12,22.27,23.28,22.18,22.85,117237500
2023-05-15,22.69,22.77,22.11,22.34,81996700
2023-05-16,22.73,23.53,22.71,22.9,117782700
2023-05-17,23.16,23.3,22.21,22.34,107129200
2023-05-18,22.28,22.51,22.07,22.47,63010500
2023-05-19,22.71,22.79,22.32,22.44,69245500
2023-05-22,22.53,22.64,22.2,22.31,38010200
2023-05-23,22.33,23.01,22.22,22.85,58285300
2023-05-24,22.85,23.42,22.68,23.2,54796400
2023-05-25,23.33,23.37,22.8,23.03,49182700
2023-05-26,23.34,23.43,23.1,23.33,39866600
2023-05-29,23.29,23.35,23.12,23.24,17977100
2023-05-30,23.26,23.33,22.86,22.98,45736700
2023-05-31,22.87,22.95,22.52,22.74,49207600
2023-06-01,22.9,23.51,22.78,23.47,63148200
2023-06-02,23.88,24.03,23.6,23.66,39919300
2023-06-05,23.98,23.99,23.71,23.92,39321700
2023-06-06,23.9,24.6,23.69,24.42,75426600
2023-06-07,24.94,25.3,24.75,25.13,82330400
2023-06-09,25.34,26.46,25.27,26.36,80442400
2023-06-12,26.31,26.98,26.15,26.82,119350400
2023-06-13,27.12,27.12,26.52,26.77,79174900
2023-06-14,26.85,27.92,26.79,27.92,98326000
2023-06-15,28.01,28.62,27.16,27.26,120579500
2023-06-16,27.11,27.75,26.94,27.5,94572000
2023-06-19,27.49,28.26,27.41,28.22,34573900
2023-06-20,28.11,28.52,27.74,28.36,55605300
2023-06-21,28.69,29.68,28.62,29.55,89294300
2023-06-22,29.18,29.4,28.83,29.17,43455800
2023-06-23,28.94,29.02,27.73,27.98,76023400
2023-06-26,27.94,28.8,27.94,28.61,53635000
2023-06-27,28.69,28.94,28.14,28.39,48399600
2023-06-28,28.37,28.92,28.34,28.65,36794600
2023-06-29,28.76,28.87,28.53,28.78,32071800
2023-06-30,28.76,28.83,27.2,27.39,104262900
2023-07-03,27.57,28.0,27.57,27.9,31266900
2023-07-04,27.79,28.19,27.79,27.97,18308000
2023-07-05,27.98,28.34,27.51,27.93,53585500
2023-07-06,27.69,27.83,27.04,27.5,47685700
2023-07-07,27.61,28.01,27.24,27.37,55533500
2023-07-10,27.0,27.52,26.91,27.41,25590200
2023-07-11,27.39,27.39,26.9,27.04,40877000
2023-07-12,27.09,27.62,27.03,27.06,40181800
2023-07-13,26.97,27.57,26.94,27.49,35886500
2023-07-14,27.37,27.44,26.77,26.95,34451100
2023-07-17,26.35,26.99,25.93,26.89,52160800
2023-07-18,26.9,27.09,26.63,26.74,35640400
2023-07-19,26.73,27.02,26.5,26.99,46517700
2023-07-20,26.97,27.23,26.79,27.02,33177100
2023-07-21,27.04,27.7,27.02,27.53,52059200
2023-07-24,27.64,28.21,27.61,28.11,45268100
2023-07-25,28.29,28.8,28.01,28.76,56261000
2023-07-26,28.71,28.96,28.41,28.76,45880200
2023-07-27,28.62,28.65,27.25,27.26,86471900
2023-07-28,27.3,27.78,27.2,27.61,43608600
2023-07-31,28.11,28.9,28.11,28.86,91290800
2023-08-01,28.84,28.84,27.78,28.39,75752400
2023-08-02,28.3,28.37,27.64,28.32,62068400
2023-08-03,28.69,28.88,28.4,28.68,57304400
2023-08-04,28.48,28.89,27.59,27.83,120685800
2023-08-07,27.7,28.29,27.7,28.01,44984900
2023-08-08,27.75,28.19,27.57,28.03,34771300
2023-08-09,28.02,28.5,27.98,28.26,48561500
2023-08-10,28.11,28.63,27.94,28.41,54020200
2023-08-11,28.4,28.79,27.98,28.35,39403200
2023-08-14,28.27,28.52,28.08,28.42,27992700
2023-08-15,29.73,29.82,28.62,28.63,87366200
2023-08-16,28.76,29.67,28.65,29.26,74461000
2023-08-17,29.45,29.86,29.04,29.16,57570600
2023-08-18,29.14,29.39,28.92,29.24,45579700
2023-08-21,29.41,29.71,28.73,29.04,42236900
2023-08-22,29.37,29.48,29.12,29.48,31372200
2023-08-23,30.05,31.05,29.94,31.05,95507400
2023-08-24,31.08,31.51,30.66,31.0,49332300
2023-08-25,31.18,31.27,30.62,30.79,34079000
2023-08-28,30.91,31.14,30.68,31.13,24956100
2023-08-29,31.2,31.3,30.81,31.2,40607500
2023-08-30,31.21,31.49,31.1,31.41,34637900
2023-08-31,31.5,31.58,30.7,30.76,48971500
2023-09-01,31.02,31.48,30.78,31.42,50089200
2023-09-04,31.47,31.51,31.02,31.1,21667400
2023-09-05,31.08,32.25,31.03,32.14,75082900
2023-09-06,32.12,32.55,31.99,32.28,57856500
2023-09-08,32.24,32.42,32.03,32.16,39074100
2023-09-11,32.23,32.44,32.1,32.14,30276200
2023-09-12,32.31,32.53,32.25,32.29,31963000
2023-09-13,32.4,32.45,31.81,31.81,47685700
2023-09-14,31.88,32.74,31.88,32.62,46502100
2023-09-15,32.62,32.73,32.37,32.64,54801500
2023-09-18,32.74,33.43,32.6,32.87,52363400
2023-09-19,32.94,33.34,32.81,32.94,43247200
2023-09-20,32.89,33.33,32.75,33.02,39102300
2023-09-21,32.74,33.02,32.39,32.51,60109400
2023-09-22,32.76,32.92,32.56,32.77,31020500
2023-09-25,32.69,33.06,32.67,32.98,26767200
2023-09-26,32.74,32.83,32.22,32.22,60687500
2023-09-27,32.61,33.24,32.53,33.24,53708700
2023-09-28,33.18,33.26,32.94,33.18,30765000
2023-09-29,33.22,33.41,32.98,33.36,40227600
2023-10-02,33.27,33.48,32.67,32.86,34403400
2023-10-03,32.71,32.96,32.39,32.71,37947300
2023-10-04,32.36,32.46,31.19,31.41,88895900
2023-10-05,31.31,31.72,31.1,31.52,35342000
2023-10-06,31.39,32.57,31.13,32.27,48132800
2023-10-09,32.89,33.78,32.84,33.66,77528400
2023-10-10,33.61,34.03,33.45,33.91,48326500
2023-10-11,33.84,33.95,33.21,33.82,41578500
2023-10-13,34.47,35.01,34.46,34.94,66943700
2023-10-16,35.05,35.44,34.63,35.32,49626600
2023-10-17,35.34,36.28,35.27,36.28,68814800
2023-10-18,36.58,37.18,36.51,37.09,85931700
2023-10-19,36.94,37.05,36.52,36.92,56016600
2023-10-20,37.26,37.42,36.01,36.45,66242400
2023-10-23,35.24,35.44,33.96,34.04,104499100
2023-10-24,34.33,34.85,33.87,34.55,78634900
2023-10-25,34.75,34.94,34.43,34.74,32846500
2023-10-26,34.52,34.6,33.85,34.38,47858600
2023-10-27,34.87,35.11,33.87,34.13,45843100
2023-10-30,34.26,34.4,33.57,33.78,31346900
2023-10-31,33.71,33.88,33.21,33.45,36965200
2023-11-01,33.72,34.22,33.61,33.82,46335300
2023-11-03,34.47,34.56,33.75,34.22,30959700
2023-11-06,34.42,34.79,34.2,34.2,33583600
2023-11-07,33.77,34.11,33.38,33.63,48919900
2023-11-08,33.32,33.51,32.66,32.91,59742900
2023-11-09,33.22,33.85,33.09,33.59,56231100
2023-11-10,33.38,33.76,33.23,33.44,40004800
2023-11-13,33.4,34.43,33.39,34.37,44120000
2023-11-14,34.37,34.9,34.18,34.84,50888600
2023-11-16,34.65,35.14,34.19,34.23,72361200
2023-11-17,34.5,35.55,34.49,35.35,87666300
2023-11-20,35.41,35.84,34.93,35.38,67796900
2023-11-21,35.19,35.19,34.58,35.01,49597800
2023-11-22,34.9,35.16,34.25,35.16,58578300
2023-11-23,35.13,35.25,34.81,35.17,24068100
2023-11-24,34.98,35.82,34.71,35.27,53456200
2023-11-27,35.0,35.4,34.75,35.07,36996000
2023-11-28,35.17,35.62,35.15,35.6,36875900
2023-11-29,35.9,36.03,34.94,35.23,37528600
2023-11-30,35.46,35.92,35.24,35.91,58808800
2023-12-01,35.72,36.0,35.53,35.67,36388100
2023-12-04,35.44,35.55,34.85,34.91,35601900
2023-12-05,34.92,35.17,34.68,34.75,43234200
2023-12-06,34.55,34.8,33.5,33.5,64179200
2023-12-07,33.65,34.18,33.04,33.42,64723900
2023-12-08,33.71,34.54,33.48,34.49,53290700
2023-12-11,34.46,34.69,34.24,34.36,30613300
2023-12-12,34.55,34.6,33.8,34.08,30371500
2023-12-13,34.21,34.62,34.14,34.57,38992900
2023-12-14,35.0,35.74,34.84,35.32,57950000
2023-12-15,35.28,35.79,35.0,35.4,56570100
2023-12-18,35.75,36.3,35.58,35.84,44474300
2023-12-19,35.96,36.25,35.81,36.25,32183000
2023-12-20,36.37,36.74,36.29,36.38,38947900
2023-12-21,36.67,36.68,36.07,36.39,30511900
2023-12-22,36.5,36.8,36.37,36.74,31234700
2023-12-26,36.86,37.37,36.83,37.33,23466800
2023-12-27,37.32,37.43,37.13,37.36,19588500
2023-12-28,37.23,37.36,37.04,37.24,21421900
2024-01-02,37.44,37.89,37.4,37.78,24043800
2024-01-03,37.8,39.12,37.67,38.96,52300200
2024-01-04,39.12,39.35,38.51,38.63,45344900
